model,eps,synth_seed,intervention,accuracy,auc,dp_gap,eo_gap,dp_gap_unm,eo_gap_unm,dp_ratio,eo_ratio
xgboost,1.0,1.0,expgrad,0.7583369534663839,0.7447469359683138,0.295668219272452,0.75,0.3818432383645134,0.6211111111111112,0.7743183316243579,1.2075134168157422
xgboost,1.0,1.0,threshold,0.7129021541921141,0.8383363866315656,0.2832679324143776,0.3,0.3818432383645134,0.6211111111111112,0.7418435209895368,0.4830053667262969
xgboost,1.0,2.0,reweighting,0.7623489126823908,0.8314798964802677,0.3180684911802649,0.5811111111111111,0.3724847237114648,0.6422222222222222,0.8539101631095295,0.9048442906574394
xgboost,1.0,2.0,expgrad,0.7613012035877648,0.7452973655886297,0.3301479365551778,0.6944444444444444,0.3724847237114648,0.6422222222222222,0.886339534318508,1.0813148788927336
xgboost,1.0,2.0,threshold,0.7386860194720568,0.8332604535985833,0.3774669302113425,0.5,0.3724847237114648,0.6422222222222222,1.0133755995420017,0.7785467128027681
xgboost,1.0,3.0,reweighting,0.7659520098126901,0.8353660850227391,0.3512870447950466,0.56,0.3692283554229923,0.61,0.9514086327216339,0.918032786885246
xgboost,1.0,3.0,expgrad,0.7657220248894795,0.7501522768037301,0.2769515946933057,0.6,0.3692283554229923,0.61,0.7500821392117264,0.9836065573770492
xgboost,1.0,3.0,threshold,0.7542994403700202,0.8367263914599874,0.2926219352417677,0.5,0.3692283554229923,0.61,0.7925229223160193,0.819672131147541
xgboost,1.0,4.0,reweighting,0.7660797792144737,0.8346779670478437,0.305982485709387,0.5855555555555556,0.3618205993325634,0.64,0.8456745864492546,0.9149305555555556
xgboost,1.0,4.0,expgrad,0.7609178953824138,0.742394338411362,0.451063829787234,0.65,0.3618205993325634,0.64,1.2466504964595555,1.015625
xgboost,1.0,4.0,threshold,0.7477576469986967,0.835797392056418,0.3573882550085889,0.5,0.3618205993325634,0.64,0.9877498839697058,0.78125
xgboost,1.0,5.0,reweighting,0.761275649707408,0.8306323498132719,0.3335026316725921,0.5766666666666667,0.3593721983656683,0.6166666666666667,0.9280145575792331,0.9351351351351351
xgboost,1.0,5.0,expgrad,0.7663864257787545,0.7503287237791549,0.2918520052148201,0.65,0.3593721983656683,0.6166666666666667,0.8121162586924849,1.054054054054054
xgboost,1.0,5.0,threshold,0.6706871438427925,0.834088701904657,0.4098631918452117,0.4499999999999999,0.3593721983656683,0.6166666666666667,1.1404977728081453,0.7297297297297295
xgboost,1.0,6.0,reweighting,0.7653131628037717,0.8328285111113254,0.3058393552550736,0.6,0.3693678341844016,0.6255555555555555,0.8280075495214553,0.9591474245115453
xgboost,1.0,6.0,expgrad,0.7644443308716429,0.749634996003874,0.2649609708202441,0.65,0.3693678341844016,0.6255555555555555,0.7173363414421358,1.0390763765541742
xgboost,1.0,6.0,threshold,0.7439756727059004,0.8343460417159435,0.3037357781307522,0.65,0.3693678341844016,0.6255555555555555,0.8223124755879974,1.0390763765541742
xgboost,1.0,7.0,reweighting,0.7669741650269594,0.8342919472122263,0.3462647071192647,0.5577777777777777,0.3822993733804781,0.6044444444444445,0.9057422826969942,0.9227941176470587
xgboost,1.0,7.0,expgrad,0.7637032683412976,0.7471178132716394,0.2658935330323398,0.6,0.3822993733804781,0.6044444444444445,0.6955112970266708,0.9926470588235293
xgboost,1.0,7.0,threshold,0.756701505123553,0.8354055114769634,0.3014696605514381,0.55,0.3822993733804781,0.6044444444444445,0.7885695911183318,0.9099264705882354
xgboost,1.0,8.0,reweighting,0.7679963202412287,0.8356893716937762,0.336837916789327,0.5555555555555556,0.3704398629653952,0.6355555555555555,0.9092917649113612,0.8741258741258742
xgboost,1.0,8.0,expgrad,0.7629366519305957,0.7449377784632462,0.2594866688024424,0.6388888888888888,0.3704398629653952,0.6355555555555555,0.7004825742165941,1.0052447552447552
xgboost,1.0,8.0,threshold,0.7503896966754402,0.8369337301139659,0.3424965789873802,0.4444444444444444,0.3704398629653952,0.6355555555555555,0.9245672866998512,0.6993006993006993
xgboost,1.0,9.0,reweighting,0.7676896736769478,0.8355056163276136,0.3207211462252402,0.5800000000000001,0.3705919079707168,0.6222222222222222,0.8654294368742199,0.9321428571428573
xgboost,1.0,9.0,expgrad,0.7616334040324023,0.7408389005048124,0.2700798983931793,0.7,0.3705919079707168,0.6222222222222222,0.7287798049128486,1.125
